Num_Children,Group,Income,Own_Car,Own_Housing,Target
4,0,75947,1,1,0
4,0,75522,1,1,0
1,1,80773,1,0,1
5,0,53935,0,0,0
1,0,62275,1,0,0
1,0,99247,1,0,1
1,1,111488,0,1,1
2,1,93127,0,0,1
2,0,99041,1,0,1
4,0,83530,1,0,0
3,0,72609,0,1,0
0,0,44466,1,0,0
5,1,46226,1,0,0
0,1,72297,1,0,0
3,0,89387,0,0,1
2,0,75931,1,0,0
2,1,78442,1,0,1
3,0,84182,0,0,0
0,0,79993,1,0,0
4,0,40567,0,1,0
1,1,101401,1,1,1
2,0,55289,1,0,0
6,0,40326,0,0,0
4,1,50860,1,0,0
1,0,85550,1,0,0
2,0,62336,1,0,0
3,0,65091,0,0,0
1,1,62397,1,0,0
2,0,58691,1,0,0
2,0,49677,1,1,0
1,1,48077,0,1,0
3,0,80452,0,0,0
1,1,69304,1,1,1
3,1,93685,1,1,1
2,1,52575,1,1,0
3,0,58549,1,0,0
4,1,95600,1,1,1
3,0,61390,0,0,0
1,0,39541,1,0,0
3,0,41632,1,1,0
2,1,46760,0,0,0
2,1,93583,1,1,1
2,0,48123,0,0,0
2,0,75189,1,0,0
1,0,45117,0,0,0
2,0,64998,1,0,0
1,1,88521,1,0,1
3,0,98809,1,1,1
1,1,85826,1,1,1
3,1,97137,1,1,1
1,0,86027,1,0,0
4,1,63497,0,0,0
1,0,68459,1,1,0
1,1,46653,0,0,0
2,0,84407,1,1,1
4,1,86680,1,1,1
4,1,62931,1,1,0
0,1,64873,1,1,0
1,0,64278,1,0,0
4,0,71839,1,0,0
1,0,76583,0,1,0
2,0,61942,1,0,0
3,1,112250,1,1,1
1,1,66720,0,1,0
2,0,35467,0,1,0
5,0,58523,0,0,0
0,1,91759,1,1,1
2,1,105939,0,1,1
2,0,56064,1,1,0
0,0,66489,1,0,0
2,1,57022,1,0,0
3,0,83415,0,0,0
2,1,104135,1,1,1
2,1,107593,1,1,1
0,0,80265,1,0,0
2,0,38013,1,1,0
2,1,58666,0,1,0
0,1,89029,1,1,1
4,1,118858,1,1,1
2,1,65978,0,0,0
1,1,54250,1,0,0
2,0,56778,1,0,0
4,1,76044,1,1,1
2,1,70665,1,1,0
0,0,80641,1,0,0
4,1,96032,0,0,1
4,0,53914,0,0,0
1,0,40601,1,0,0
1,1,105546,1,1,1
3,1,99938,0,1,1
2,1,42318,0,1,0
2,0,80626,0,1,0
4,0,65517,1,1,0
0,1,73597,1,0,0
2,1,54776,1,0,0
2,0,92057,1,0,1
1,1,83139,0,0,1
2,1,109529,0,0,1
2,1,48376,1,1,0
2,1,95794,1,0,1
3,1,73483,1,0,0
8,0,64273,1,1,0
0,0,53056,0,0,0
2,0,77292,0,0,0
3,1,64460,1,0,0
0,1,115436,1,0,1
3,0,39993,1,0,0
3,0,67337,0,0,0
0,0,42605,1,0,0
1,1,48521,1,1,0
0,1,97673,1,1,1
2,0,94930,0,0,1
2,1,97833,0,1,1
0,1,93110,1,1,1
0,1,68773,0,1,0
1,1,68482,1,0,0
2,0,85423,0,0,0
1,1,114607,1,0,1
0,1,84265,1,1,1
2,0,98394,1,0,1
4,0,91999,1,0,1
3,1,40492,1,0,0
1,1,113913,0,1,1
3,0,36227,0,0,0
2,0,96634,1,0,1
2,1,41896,0,1,0
3,1,78085,1,0,0
1,1,47312,1,0,0
3,1,61041,0,1,0
2,0,40613,0,0,0
4,0,76850,1,1,1
3,0,35043,1,0,0
3,1,98406,1,0,1
1,1,112029,0,0,1
1,0,90629,1,1,1
2,0,42526,0,1,0
2,1,87169,1,1,1
2,0,92192,0,0,1
2,0,80409,0,1,0
3,0,83139,1,1,1
4,1,82270,1,0,1
1,0,77700,0,1,0
3,0,97064,1,0,1
1,0,38597,1,1,0
2,1,109525,1,1,1
1,1,112946,1,1,1
1,1,59778,1,1,0
2,0,64554,0,0,0
2,0,57782,1,1,0
3,1,76473,1,0,1
1,0,44146,1,0,0
2,1,73228,1,1,1
1,1,95064,0,0,1
0,0,97029,1,1,1
1,0,83128,1,0,0
1,0,86268,1,0,1
2,1,77224,0,1,1
3,0,54612,0,0,0
1,0,86444,1,1,1
3,0,50854,0,0,0
0,0,44334,0,0,0
2,1,48594,1,0,0
0,0,64640,1,0,0
0,1,90256,1,0,1
1,1,108601,1,1,1
2,0,93377,1,1,1
2,0,93359,1,0,1
1,1,67594,1,1,0
2,0,75172,1,0,0
2,0,30526,1,0,0
1,1,77469,1,0,1
0,1,86045,1,1,1
4,0,93878,1,1,1
6,1,116272,1,1,1
2,0,96568,0,0,1
2,0,46659,1,0,0
1,1,117929,1,1,1
2,1,102169,1,0,1
1,1,70255,0,1,0
3,0,99453,1,0,1
3,1,40164,1,1,0
1,0,97798,0,0,1
0,0,32546,1,1,0
1,0,71068,1,0,0
2,0,98007,1,1,1
1,1,75907,1,1,1
1,1,47298,1,0,0
2,1,82219,1,1,1
2,1,48257,0,0,0
1,1,60120,0,1,0
1,0,85953,0,1,1
2,0,50353,1,1,0
4,1,116472,1,0,1
2,0,67662,0,0,0
3,1,116900,1,1,1
0,0,33223,0,0,0
1,0,95367,1,0,1
8,1,66967,1,1,0
3,0,89763,0,0,1
4,1,100699,1,1,1
5,1,101782,1,0,1
0,1,114491,0,0,1
2,1,71341,1,1,0
0,0,60294,1,0,0
1,1,62879,1,0,0
3,0,93467,0,0,1
2,1,108437,1,1,1
0,0,46249,1,0,0
0,1,98431,1,1,1
1,0,47784,0,1,0
4,0,42718,1,0,0
1,1,50592,0,0,0
0,1,108673,0,0,1
4,1,91160,1,0,1
0,1,116328,1,0,1
4,0,61380,1,0,0
1,1,101658,1,1,1
0,0,39561,1,0,0
3,0,54449,0,1,0
2,1,116497,1,0,1
5,1,51039,1,1,0
2,0,91147,1,1,1
1,1,92605,1,0,1
2,1,108004,1,0,1
3,0,63012,1,0,0
1,1,82881,1,1,1
3,1,105725,1,0,1
2,1,81336,1,1,1
1,0,30636,0,0,0
0,0,45337,1,0,0
1,1,40660,1,1,0
4,0,76662,1,0,0
4,1,110509,1,1,1
2,0,67297,0,0,0
2,1,88912,1,1,1
2,1,95443,1,1,1
2,0,30317,0,1,0
1,0,84505,0,0,0
1,1,63834,1,0,0
1,0,90380,1,1,1
4,1,112779,1,0,1
4,1,72618,1,1,1
3,1,87796,1,1,1
1,0,74243,0,0,0
1,1,53783,0,1,0
0,1,111227,1,0,1
4,1,59543,0,0,0
2,0,82620,0,0,0
3,0,67580,0,1,0
3,1,61782,1,1,0
4,1,58928,1,0,0
1,1,106883,1,1,1
2,1,74429,1,0,1
2,0,72682,1,1,0
2,0,87210,1,0,1
2,0,40391,1,0,0
2,0,90511,1,0,1
0,1,71811,1,1,1
2,0,99928,1,1,1
4,0,50206,0,0,0
4,1,46806,1,1,0
3,1,61612,1,0,0
5,0,72456,1,1,0
2,0,75293,1,0,0
1,0,86053,1,0,0
1,1,57314,1,1,0
5,0,99467,1,1,1
3,1,52116,1,1,0
1,1,114314,1,0,1
3,0,40835,1,0,0
3,1,100783,1,0,1
2,0,66595,1,1,0
2,1,54682,1,1,0
4,1,82086,1,0,1
1,1,61982,1,1,0
2,1,71782,1,0,0
4,1,62591,1,1,0
2,0,61158,1,1,0
2,1,111175,1,0,1
3,1,85118,1,0,1
0,1,55654,1,0,0
5,0,33904,0,0,0
2,1,55903,1,1,0
0,1,55563,1,1,0
3,0,79925,0,1,0
3,1,65217,1,0,0
0,0,52259,1,1,0
0,1,80024,1,1,1
5,0,31043,1,0,0
1,1,53476,1,1,0
1,1,116788,1,0,1
3,1,79097,1,1,1
3,0,38874,1,0,0
4,1,70783,1,1,0
2,1,55550,1,1,0
2,1,108960,1,0,1
0,0,44631,1,0,0
5,1,111911,1,1,1
2,1,93688,1,0,1
4,1,57639,1,0,0
1,0,42885,1,0,0
1,0,91083,1,0,1
2,0,81085,1,0,0
1,1,111914,1,1,1
3,1,64067,1,0,0
4,1,57021,1,1,0
2,1,63759,1,1,0
3,0,95200,1,0,1
4,1,117618,1,0,1
2,0,96065,1,0,1
1,1,84801,1,0,1
2,0,77527,0,0,0
0,0,71768,1,0,0
3,0,87582,0,0,1
4,0,35551,1,0,0
5,0,35706,1,0,0
2,0,40645,0,0,0
1,1,99410,1,1,1
2,1,92061,1,0,1
3,0,93059,1,0,1
0,1,114502,1,1,1
1,1,112083,1,1,1
2,1,111053,0,1,1
1,1,111442,1,1,1
2,0,31860,1,0,0
5,0,95672,1,1,1
0,1,82889,0,1,1
1,1,110344,1,0,1
2,0,55474,0,0,0
1,1,80305,1,1,1
2,1,73620,0,1,1
0,1,117946,1,1,1
3,1,99739,1,0,1
3,0,39830,0,1,0
2,1,60846,1,0,0
4,1,64948,1,0,0
1,0,56228,1,0,0
1,1,94293,1,1,1
1,1,115831,1,0,1
3,1,90280,1,0,1
2,0,87087,1,0,1
2,0,88396,0,1,1
0,0,32538,1,0,0
0,1,48117,0,0,0
2,1,112696,1,1,1
2,0,45197,1,1,0
1,1,83565,1,0,1
0,0,68008,1,0,0
0,1,80487,1,0,1
1,1,47676,1,1,0
1,1,80669,1,0,1
2,0,57263,1,0,0
2,1,80271,0,1,1
3,0,79248,1,0,0
1,1,42920,0,0,0
1,0,93353,1,0,1
1,1,86100,1,1,1
3,0,34537,0,1,0
2,1,51360,1,0,0
2,0,90776,1,0,1
5,1,47837,1,0,0
3,1,88637,1,0,1
2,1,54100,0,1,0
3,0,57421,0,0,0
2,0,42168,0,1,0
4,1,48336,1,1,0
3,0,74525,1,0,0
0,1,101144,0,0,1
5,1,62099,1,0,0
2,0,97952,1,1,1
1,0,36279,1,0,0
2,1,78554,1,0,0
1,0,40435,1,1,0
3,1,58733,1,1,0
5,1,88099,1,0,1
5,1,76753,1,1,1
3,0,71779,0,0,0
2,1,44635,0,0,0
1,0,43310,1,0,0
4,0,63718,0,0,0
1,1,70953,1,0,0
2,0,31345,1,0,0
1,1,114066,1,0,1
1,1,56944,1,1,0
0,1,84323,1,1,1
1,0,33966,1,0,0
3,1,90088,1,1,1
1,1,102716,1,1,1
0,1,115546,1,1,1
5,0,39076,1,1,0
2,0,54677,1,1,0
0,0,75045,1,1,0
1,1,68860,1,0,0
2,1,70701,1,0,0
3,0,71855,0,1,0
2,0,31853,0,1,0
2,0,55613,1,0,0
4,1,89533,0,0,1
2,0,46155,0,0,0
2,0,33221,1,0,0
2,1,61483,1,1,0
4,1,48399,1,0,0
2,1,80336,0,0,1
1,0,72178,0,1,0
1,0,89132,0,0,0
4,1,82415,1,0,1
2,0,80262,1,0,0
3,0,93196,1,1,1
2,0,44188,1,0,0
3,1,87439,1,0,1
1,1,114155,1,0,1
2,1,100805,1,1,1
2,1,78791,1,0,1
4,1,84750,1,0,1
2,0,72066,1,0,0
2,1,63106,1,0,0
2,1,111062,1,0,1
3,0,47035,0,0,0
3,0,70176,0,1,0
5,1,71789,0,0,0
1,0,34792,0,0,0
0,0,52133,0,1,0
0,0,78740,1,1,0
0,1,80454,0,1,1
0,0,45291,1,0,0
3,1,102053,1,0,1
6,1,71942,0,1,0
2,1,76044,0,0,0
2,0,71320,1,0,0
1,1,97248,1,0,1
1,0,52644,1,0,0
2,1,76343,1,0,0
3,0,95981,1,0,1
4,0,30472,0,1,0
0,1,112616,1,0,1
2,1,101962,1,0,1
3,1,104531,0,0,1
3,1,111473,0,1,1
0,0,65871,1,0,0
3,1,67402,1,0,0
0,1,60062,0,1,0
4,1,51434,1,1,0
4,0,48807,0,1,0
3,0,85981,1,0,0
4,0,98438,0,1,1
1,0,72303,0,0,0
0,0,44060,1,0,0
3,0,79901,0,1,0
1,1,94642,1,0,1
2,0,62523,0,1,0
0,1,54449,1,0,0
1,0,81080,1,0,0
1,1,112702,1,1,1
0,0,66442,0,1,0
5,0,64681,0,1,0
5,0,33596,1,0,0
3,1,102492,1,0,1
1,1,85083,1,1,1
2,1,88565,1,0,1
2,1,95056,1,1,1
0,0,58997,0,0,0
1,1,119941,1,0,1
3,1,103183,1,0,1
0,0,53638,1,0,0
0,0,54234,1,1,0
1,1,64310,1,0,0
2,1,68616,1,1,1
1,1,78741,1,1,1
3,0,31082,0,0,0
3,1,89013,1,0,1
2,1,74125,1,1,1
0,0,57671,1,0,0
0,0,77300,0,0,0
2,0,85835,0,0,0
4,0,39577,1,0,0
3,0,68036,1,1,0
4,0,35455,1,1,0
1,1,89247,1,0,1
5,0,39291,0,0,0
3,1,88019,1,0,1
2,0,85228,0,1,1
1,0,47950,1,1,0
5,1,100815,1,1,1
2,0,31599,1,0,0
1,1,58588,1,0,0
1,1,102514,0,0,1
0,1,116702,1,0,1
6,1,90115,0,1,1
3,1,102501,1,1,1
2,0,96548,0,1,1
1,1,104757,0,1,1
1,1,54596,1,0,0
7,1,89717,1,0,1
2,0,37763,0,0,0
1,0,70446,1,0,0
2,1,56796,1,0,0
1,1,85635,0,1,1
2,0,45026,0,0,0
0,1,58381,0,0,0
1,0,57858,0,0,0
2,0,55219,1,0,0
2,0,61795,0,1,0
2,0,89299,1,0,1
2,0,85956,1,0,1
2,0,83396,1,1,1
0,0,72377,1,1,0
3,1,73041,1,1,1
1,1,62279,1,1,0
1,0,43629,0,0,0
1,1,94992,1,0,1
2,1,78397,1,1,1
3,0,80103,1,1,0
2,1,90693,1,0,1
6,0,88195,0,0,1
1,1,65911,1,0,0
0,0,52793,0,0,0
2,0,68179,1,1,0
0,1,62271,1,0,0
1,0,70752,0,0,0
5,1,82238,1,1,1
3,1,50058,1,1,0
2,1,81352,1,0,1
2,1,40893,0,1,0
3,0,42509,1,1,0
1,1,102157,1,1,1
1,1,50936,1,1,0
0,1,71810,1,0,0
1,0,36096,1,1,0
3,1,58260,0,1,0
2,1,86257,1,1,1
2,1,83218,1,0,1
3,0,61198,0,1,0
0,0,32882,0,0,0
3,1,49754,1,0,0
4,1,78503,1,1,1
3,1,82074,1,0,1
2,1,112492,1,1,1
3,1,56511,1,0,0
2,0,42283,0,1,0
1,1,112567,1,1,1
2,0,80404,0,1,0
5,1,77549,1,1,1
5,1,116716,1,0,1
2,0,85129,1,0,1
2,0,45028,0,0,0
4,0,88058,1,0,1
1,0,88697,0,0,1
3,0,65411,0,0,0
2,1,48031,1,0,0
0,0,30073,1,0,0
0,1,92027,1,0,1
2,1,66736,0,1,0
0,1,78121,1,1,1
0,0,60932,1,1,0
1,1,118135,1,1,1
5,1,107251,1,1,1
4,1,99860,1,1,1
0,0,54171,0,0,0
2,1,43244,1,0,0
2,1,107430,1,0,1
2,0,51220,1,0,0
2,0,84382,0,1,1
1,0,77617,0,1,0
1,0,30181,0,0,0
1,1,69302,0,1,0
1,1,81923,1,0,1
0,0,82657,1,0,0
0,1,57663,0,0,0
4,0,93953,0,0,1
6,1,107804,1,1,1
0,0,86025,1,0,1
3,0,57409,1,0,0
2,1,57656,0,0,0
3,1,93349,1,1,1
2,1,59043,0,1,0
1,0,92259,1,1,1
0,0,33827,1,0,0
1,1,73893,1,1,1
1,1,81918,1,0,1
2,1,85167,1,1,1
2,0,63500,1,0,0
4,1,66267,1,1,0
2,1,70567,1,0,0
4,0,74170,0,0,0
1,1,91675,1,0,1
3,1,72985,1,0,0
4,0,77888,0,0,0
5,0,36446,1,1,0
1,0,65858,1,0,0
1,1,74517,1,1,1
2,0,79002,1,0,0
0,0,41803,1,1,0
1,1,114752,1,0,1
0,1,109307,0,1,1
5,1,61734,1,0,0
4,0,74550,1,0,0
2,0,70673,0,1,0
3,0,59378,0,0,0
4,0,61733,1,0,0
2,1,45322,1,1,0
2,1,69375,1,0,0
2,1,47754,1,0,0
3,1,82544,1,0,1
2,0,44358,1,0,0
1,0,70789,1,0,0
3,0,73659,0,0,0
2,1,64698,0,0,0
2,0,98161,0,1,1
3,0,69418,0,0,0
3,0,79003,1,0,0
3,1,103326,1,0,1
0,1,86232,1,1,1
2,1,114075,1,1,1
2,0,97101,1,1,1
1,0,60966,1,0,0
0,1,66683,1,1,0
3,0,39316,1,0,0
2,0,89757,1,1,1
3,0,38747,0,0,0
1,0,45336,1,1,0
4,1,59892,1,1,0
2,0,39045,1,0,0
1,1,83501,1,1,1
5,1,109269,1,1,1
3,0,71717,0,0,0
1,1,96532,1,1,1
5,1,69644,0,1,0
0,0,79920,0,0,0
0,0,56780,0,0,0
1,0,82675,1,0,0
4,1,44795,1,1,0
0,0,64751,0,1,0
2,0,95814,1,0,1
3,0,97519,0,1,1
2,1,112189,1,0,1
2,1,59836,0,0,0
5,1,66879,1,0,0
3,1,50332,0,0,0
1,1,70669,1,1,1
1,0,91966,1,0,1
1,0,98767,1,0,1
5,0,90422,1,0,1
3,0,71587,1,0,0
2,0,42400,0,0,0
3,0,51924,1,0,0
3,1,102256,1,1,1
1,1,98444,1,1,1
1,0,43290,1,0,0
2,0,57831,0,0,0
2,0,73908,1,0,0
0,1,99603,1,1,1
2,0,39495,0,0,0
2,0,67098,0,0,0
4,0,42809,1,0,0
2,1,96179,0,1,1
0,1,106813,1,0,1
3,1,68599,0,1,0
0,1,94331,1,0,1
2,1,63944,1,0,0
4,0,38784,0,0,0
4,0,83807,0,0,0
5,1,56545,0,0,0
2,1,91022,0,0,1
5,0,48768,1,1,0
0,1,111627,1,0,1
4,1,118548,0,0,1
1,1,109246,0,0,1
0,1,106619,1,1,1
3,1,83166,1,0,1
3,0,66321,0,1,0
1,0,75914,0,1,0
1,0,33772,0,0,0
0,1,76117,1,0,0
1,0,64474,1,0,0
0,0,38838,1,0,0
2,1,78087,1,0,1
3,1,51174,1,0,0
2,1,49253,1,1,0
0,0,65764,0,0,0
1,1,50958,1,0,0
3,0,43125,1,0,0
4,0,72252,1,0,0
3,0,53141,1,0,0
1,0,88859,1,0,1
2,0,30085,1,0,0
0,1,104733,1,0,1
1,1,44087,1,1,0
1,0,77422,0,0,0
5,0,89185,0,0,0
1,1,81134,0,0,1
3,0,52018,1,1,0
3,1,103630,1,1,1
0,1,43591,1,1,0
3,0,77245,1,0,0
3,1,103434,0,1,1
0,1,81399,1,0,1
1,1,92658,0,1,1
2,0,42541,0,0,0
4,0,81705,1,1,1
1,1,108351,1,0,1
4,1,86769,1,0,1
0,1,113966,1,1,1
2,1,66404,1,0,0
1,0,73684,1,0,0
5,0,99906,0,1,1
0,0,67890,1,0,0
2,1,49539,1,0,0
3,1,104769,1,0,1
1,0,89748,0,0,1
0,1,64935,1,1,0
2,1,106573,1,1,1
2,0,61457,1,0,0
4,1,110895,1,0,1
3,0,56711,1,0,0
2,0,59261,1,0,0
2,0,79429,1,0,0
2,0,78831,1,0,0
3,0,30927,1,0,0
2,0,32727,0,0,0
1,1,114367,0,1,1
2,1,115490,1,0,1
0,0,46128,1,0,0
4,0,51429,1,1,0
2,1,119057,1,0,1
1,1,59810,1,1,0
4,0,80360,0,0,0
3,1,76263,0,0,0
5,0,36441,0,0,0
1,0,45271,0,0,0
0,0,61867,1,0,0
0,1,69604,0,1,0
2,0,46290,0,0,0
4,1,97426,0,0,1
3,0,53274,0,1,0
0,0,96268,1,1,1
2,1,84907,1,0,1
2,0,35226,1,0,0
3,0,69377,1,0,0
2,0,74559,1,0,0
2,0,37498,1,0,0
1,0,32346,0,1,0
3,0,70568,1,1,0
4,0,91984,1,0,1
1,0,52667,1,0,0
2,1,78902,1,0,1
0,0,75384,0,0,0
3,0,35651,0,0,0
2,0,56383,0,0,0
2,0,82280,1,0,0
3,0,36830,1,0,0
3,1,90280,1,1,1
1,0,91091,1,1,1
2,0,45485,1,1,0
1,1,60062,1,1,0
3,1,49927,1,1,0
1,1,49182,1,1,0
2,1,106062,1,0,1
1,1,51919,0,0,0
2,0,61274,0,0,0
3,0,60805,0,1,0
2,1,53134,1,1,0
2,1,52543,1,0,0
1,0,54266,1,1,0
1,1,61521,1,0,0
2,0,90033,1,1,1
0,1,68881,1,1,1
0,0,71631,0,0,0
0,1,50324,1,0,0
4,0,48557,0,1,0
3,1,115140,0,0,1
2,1,98578,1,1,1
2,1,85535,1,1,1
3,0,52022,0,0,0
2,0,33804,1,0,0
2,0,55200,0,0,0
2,1,82500,1,0,1
4,0,64822,0,0,0
2,1,51374,1,0,0
3,1,72063,1,0,0
1,0,96176,1,1,1
0,0,53793,0,0,0
1,0,99620,1,1,1
3,1,114082,0,1,1
2,0,95947,1,1,1
3,1,53022,0,0,0
2,1,63169,1,0,0
3,0,91679,1,0,1
2,1,59973,1,0,0
2,1,43288,1,1,0
1,0,81299,1,1,1
1,0,36145,1,0,0
1,0,48090,1,0,0
3,0,75707,1,0,0
1,0,75254,0,0,0
2,1,109014,0,1,1
1,0,84113,1,0,0
2,0,54386,1,0,0
4,0,99838,0,0,1
1,1,75927,1,1,1
1,1,102190,0,0,1
3,1,66568,1,0,0
3,1,104062,1,0,1
1,0,44260,1,0,0
1,0,35407,1,0,0
0,1,42692,1,1,0
2,1,86208,1,0,1
5,0,75882,0,0,0
1,0,54871,0,0,0
1,0,42116,1,0,0
1,1,60262,1,1,0
0,1,79522,0,0,1
3,1,90072,1,0,1
3,1,78036,1,0,1
1,0,81976,0,0,0
1,0,69303,0,0,0
2,0,66113,0,1,0
1,1,66499,1,1,0
2,0,54619,1,0,0
1,1,99570,1,1,1
1,1,102488,1,0,1
1,0,85644,0,1,1
0,0,80526,1,1,1
2,1,112955,0,1,1
0,0,73247,1,0,0
7,1,83934,1,1,1
3,0,34131,0,0,0
1,0,53342,0,0,0
2,0,35370,0,0,0
2,1,77092,1,1,1
2,0,93468,0,0,1
3,1,97441,1,1,1
3,1,48536,1,1,0
1,1,55493,1,1,0
2,1,77912,1,0,1
1,0,84876,1,1,1
2,1,117704,1,1,1
1,0,50697,0,1,0
1,1,94188,1,0,1
1,0,74458,0,0,0
1,1,70259,1,1,0
3,1,101566,0,0,1
2,0,89578,1,1,1
1,1,114261,1,1,1
5,0,72570,0,1,0
3,1,88982,1,0,1
0,0,50595,0,0,0
2,0,44898,1,0,0
1,0,74840,1,1,0
1,0,82404,0,0,0
1,1,87660,1,0,1
3,1,113240,1,1,1
4,1,106254,1,0,1
4,1,61698,1,1,0
2,1,78180,0,0,0
2,0,57439,0,1,0
1,1,65156,0,0,0
1,1,54097,1,0,0
4,0,37445,0,0,0
1,1,68674,1,1,1
1,0,77253,1,0,0
3,1,69275,1,1,0
5,1,87606,1,1,1
3,0,85110,1,0,0
4,0,80567,1,0,0
1,1,87760,1,0,1
1,1,106571,1,1,1
1,0,96959,1,0,1
1,0,33851,1,0,0
1,0,87926,1,0,1
3,0,74723,0,1,0
3,1,41609,0,0,0
2,0,61294,1,0,0
3,0,53509,0,0,0
1,1,66788,1,0,0
1,1,90203,1,1,1
1,0,93378,0,1,1
2,1,111548,0,1,1
2,0,56735,1,1,0
2,1,56693,1,1,0
6,1,111429,1,0,1
1,1,93954,0,0,1
1,0,60296,0,0,0
3,0,42810,0,0,0
3,1,64729,1,1,0
3,0,42204,0,1,0
2,0,97545,1,1,1
2,0,62221,1,1,0
3,0,96044,1,0,1
1,0,50342,0,1,0
1,0,47744,1,0,0
1,0,79707,0,1,0
4,0,44823,1,0,0
0,1,118724,1,1,1
1,1,100163,1,1,1
3,0,41388,0,0,0
0,0,70753,0,0,0
1,1,57737,1,0,0
2,1,62690,1,0,0
3,1,96995,0,0,1
2,0,58460,0,0,0
2,0,96073,0,0,1
3,1,87110,1,0,1
2,1,100356,0,0,1
1,1,45355,1,0,0
2,0,70049,0,1,0
5,0,97965,0,0,1
1,1,115797,1,1,1
2,1,98820,1,1,1
4,0,94736,1,0,1
2,1,115377,1,1,1
3,1,116406,1,1,1
5,0,96915,1,0,1
1,0,52613,1,1,0
3,0,91854,1,0,1
4,1,90843,1,0,1
2,1,41687,1,1,0
3,0,83004,0,0,0
3,0,55278,1,0,0
0,0,41805,0,0,0
3,1,81262,1,1,1
2,0,66244,0,0,0
1,1,97096,1,1,1
1,1,80343,1,1,1
3,0,45090,1,1,0
2,1,44004,1,0,0
2,1,44859,1,0,0
3,1,78131,1,1,1
2,0,72434,1,1,0
1,0,84405,1,0,0
3,0,86022,1,0,0
2,1,42283,1,1,0
4,1,55436,1,0,0
1,1,93104,1,1,1
1,0,80989,0,0,0
1,0,43513,0,0,0
